Original Node,Original Node in HEX,Mutated Node,Mutated Node in HEX
SSSDC,e296a0e296a0e296a0e299a6e2978f,SSSSC,e296a0e296a0e296a0e296a0e2978f
TCDSS,e296bce2978fe299a6e296a0e296a0,TCSSS,e296bce2978fe296a0e296a0e296a0
CDCCC,e2978fe299a6e2978fe2978fe2978f,CSCCC,e2978fe296a0e2978fe2978fe2978f
CDTSD,e2978fe299a6e296bce296a0e299a6,CDTSS,e2978fe299a6e296bce296a0e296a0
TSDTC ,e296bce296a0e299a6e296bce2978f,CTDST,e2978fe296bce299a6e296a0e296bc
TTDTC,e296bce296bce299a6e296bce2978f,CTDCC,e2978fe296bce299a6e2978fe2978f
STCCC,e296a0e296bce2978fe2978fe2978f,CTCCC,e2978fe296bce2978fe2978fe2978f
CSCDT,e2978fe296a0e2978fe299a6e296bc,CSCST,e2978fe296a0e2978fe296a0e296bc
TCDTT,e296bce2978fe299a6e296bce296bc,DCDTT,e299a6e2978fe299a6e296bce296bc
CSTTC,e2978fe296a0e296bce296bce2978f,CSTTT,e2978fe296a0e296bce296bce296bc
TCTDT,e296bce2978fe296bce299a6e296bc,TCCDT,e296bce2978fe2978fe299a6e296bc
SSDCT,e296a0e296a0e299a6e2978fe296bc,DSDCT,e299a6e296a0e299a6e2978fe296bc
DDDSS,e299a6e299a6e299a6e296a0e296a0,SDDDS,e296a0e299a6e299a6e299a6e296a0
CCTDD,e2978fe2978fe296bce299a6e299a6,SCTDD,e296a0e2978fe296bce299a6e299a6
CSTTS,e2978fe296a0e296bce296bce296a0,CSTDS,e2978fe296a0e296bce299a6e296a0
SSSDD,e296a0e296a0e296a0e299a6e299a6,DDSSS,e299a6e299a6e296a0e296a0e296a0
DCTTT,e299a6e2978fe296bce296bce296bc,TTTCD,e296bce296bce296bce2978fe299a6
SCSSD,e296a0e2978fe296a0e296a0e299a6, CSSDS,e2978fe296a0e296a0e299a6e296a0
TSDCC,e296bce296a0e299a6e2978fe2978f,TDDCC,e296bce299a6e299a6e2978fe2978f
SSSTO,e296a0e296a0e296a0e296bcundefined,SSSTS,e296a0e296a0e296a0e296bce296a0
DTDCD,e299a6e296bce299a6e2978fe299a6,DDTDC,e299a6e299a6e296bce299a6e2978f
CTDSD,e2978fe296bce299a6e296a0e299a6,CDDSD,e2978fe299a6e299a6e296a0e299a6
CCTTS,e2978fe2978fe296bce296bce296a0,STTCC,e296a0e296bce296bce2978fe2978f
STCDD,e296a0e296bce2978fe299a6e299a6,STCSD,e296a0e296bce2978fe296a0e299a6
SCDDS,e296a0e2978fe299a6e299a6e296a0,CDDSS,e2978fe299a6e299a6e296a0e296a0
CTSCT,e2978fe296bce296a0e2978fe296bc,STSCT,e296a0e296bce296a0e2978fe296bc
CCDSC,e2978fe2978fe299a6e296a0e2978f,CCSSC,e2978fe2978fe296a0e296a0e2978f
TSCCT,e296bce296a0e2978fe2978fe296bc,TSSCT,e296bce296a0e296a0e2978fe296bc
TCCCC,e296bce2978fe2978fe2978fe2978f,DCCCC,e299a6e2978fe2978fe2978fe2978f
SSDST,e296a0e296a0e299a6e296a0e296bc,SSDSC,e296a0e296a0e299a6e296a0e2978f
TSCCT,e296bce296a0e2978fe2978fe296bc,TSSCT,e296bce296a0e296a0e2978fe296bc
TDCSC,e296bce299a6e2978fe296a0e2978f,TDCDC,e296bce299a6e2978fe299a6e2978f
TTCDS,e296bce296bce2978fe299a6e296a0,TCDST,e296bce2978fe299a6e296a0e296bc
SSTSC,e296a0e296a0e296bce296a0e2978f,SSCSC,e296a0e296a0e2978fe296a0e2978f
CDCTD,e2978fe299a6e2978fe296bce299a6,CDCTS,e2978fe299a6e2978fe296bce296a0
DTCSD,e299a6e296bce2978fe296a0e299a6,DSCTD,e299a6e296a0e2978fe296bce299a6
SCSCC,e296a0e2978fe296a0e2978fe2978f,SCSCT,e296a0e2978fe296a0e2978fe296bc
CCCDD,e2978fe2978fe2978fe299a6e299a6,DDCCC,e299a6e299a6e2978fe2978fe2978f
DCTDD,e299a6e2978fe296bce299a6e299a6,dcssd,undefinedundefinedundefinedundefinedundefined
TTDCD,e296bce296bce299a6e2978fe299a6,TTDCS,e296bce296bce299a6e2978fe296a0
TTSSC,e296bce296bce296a0e296a0e2978f,TTDSC,e296bce296bce299a6e296a0e2978f
CDDSC,e2978fe299a6e299a6e296a0e2978f,CDDCC,e2978fe299a6e299a6e2978fe2978f
TDTCD,e296bce299a6e296bce2978fe299a6,TDCCD,e296bce299a6e2978fe2978fe299a6
SCDCS,e296a0e2978fe299a6e2978fe296a0,CTSTC,e2978fe296bce296a0e296bce2978f
CSSCC,e2978fe296a0e296a0e2978fe2978f,SSCCC,e296a0e296a0e2978fe2978fe2978f
DSDSD,e299a6e296a0e299a6e296a0e299a6,DSTSD,e299a6e296a0e296bce296a0e299a6
SSDDS,e296a0e296a0e299a6e299a6e296a0,SSDSS,e296a0e296a0e299a6e296a0e296a0
CDTDC,e2978fe299a6e296bce299a6e2978f,CDTTC,e2978fe299a6e296bce296bce2978f
SSDCS,e296a0e296a0e299a6e2978fe296a0,CSDCS,e2978fe296a0e299a6e2978fe296a0
SDDDT,e296a0e299a6e299a6e299a6e296bc,SDDST,e296a0e299a6e299a6e296a0e296bc
CSSST,e2978fe296a0e296a0e296a0e296bc,SSSST,e296a0e296a0e296a0e296a0e296bc
SSTCT,e296a0e296a0e296bce2978fe296bc,SSTCC,e296a0e296a0e296bce2978fe2978f
CDTTT,e2978fe299a6e296bce296bce296bc,CDCTT,e2978fe299a6e2978fe296bce296bc
CSCTC,e2978fe296a0e2978fe296bce2978f,SSCTC,e296a0e296a0e2978fe296bce2978f
CCDCC,e2978fe2978fe299a6e2978fe2978f,CSDCC,e2978fe296a0e299a6e2978fe2978f
SCDSD,e296a0e2978fe299a6e296a0e299a6,SCSSD,e296a0e2978fe296a0e296a0e299a6
SDDSS,e296a0e299a6e299a6e296a0e296a0,SDTSS,e296a0e299a6e296bce296a0e296a0
CSCDD,e2978fe296a0e2978fe299a6e299a6,SSCDD,e296a0e296a0e2978fe299a6e299a6
STCCC,e296a0e296bce2978fe2978fe2978f,CTCCC,e2978fe296bce2978fe2978fe2978f
CSTDS,e2978fe296a0e296bce299a6e296a0,CCTDS,e2978fe2978fe296bce299a6e296a0
STTCC,e296a0e296bce296bce2978fe2978f,CCTTS,e2978fe2978fe296bce296bce296a0
SSDCC,e296a0e296a0e299a6e2978fe2978f,CCDSS,e2978fe2978fe299a6e296a0e296a0
SSTCC,e296a0e296a0e296bce2978fe2978f,SCTCC,e296a0e2978fe296bce2978fe2978f
DCSTT,e299a6e2978fe296a0e296bce296bc,TTSCD,e296bce296bce296a0e2978fe299a6
SDDTT,e296a0e299a6e299a6e296bce296bc,TSDDT,e296bce296a0e299a6e299a6e296bc
DTDST,e299a6e296bce299a6e296a0e296bc,STDST,e296a0e296bce299a6e296a0e296bc
TDTDC,e296bce299a6e296bce299a6e2978f,TDTSC,e296bce299a6e296bce296a0e2978f
DSCCC,e299a6e296a0e2978fe2978fe2978f,DSCSC,e299a6e296a0e2978fe296a0e2978f
TDSSD,e296bce299a6e296a0e296a0e299a6,TSSSD,e296bce296a0e296a0e296a0e299a6
TSTTT,e296bce296a0e296bce296bce296bc,DSTTT,e299a6e296a0e296bce296bce296bc
CSTDS,e2978fe296a0e296bce299a6e296a0,CCTDS,e2978fe2978fe296bce299a6e296a0
TTSTS,e296bce296bce296a0e296bce296a0,TTSCS,e296bce296bce296a0e2978fe296a0
DDDST,e299a6e299a6e299a6e296a0e296bc,DDTST,e299a6e299a6e296bce296a0e296bc
DCSDD,e299a6e2978fe296a0e299a6e299a6,CSDDD,e2978fe296a0e299a6e299a6e299a6
CDTSD,e2978fe299a6e296bce296a0e299a6,CDTSS,e2978fe299a6e296bce296a0e296a0
CCTSD,e2978fe2978fe296bce296a0e299a6,CTTSD,e2978fe296bce296bce296a0e299a6
TTDST,e296bce296bce299a6e296a0e296bc,TTSST,e296bce296bce296a0e296a0e296bc
DSDTS,e299a6e296a0e299a6e296bce296a0,TCCCS,e296bce2978fe2978fe2978fe296a0
TDCDD,e296bce299a6e2978fe299a6e299a6,TDCSD,e296bce299a6e2978fe296a0e299a6
CTCCD,e2978fe296bce2978fe2978fe299a6,DCTCC,e299a6e2978fe296bce2978fe2978f
CDCCS,e2978fe299a6e2978fe2978fe296a0,SCDCC,e296a0e2978fe299a6e2978fe2978f
TCTCC,e296bce2978fe296bce2978fe2978f,CCTCC,e2978fe2978fe296bce2978fe2978f
CTSSS,e2978fe296bce296a0e296a0e296a0,CTDSS,e2978fe296bce299a6e296a0e296a0
CDDTS,e2978fe299a6e299a6e296bce296a0,CDSTS,e2978fe299a6e296a0e296bce296a0
TCSTC,e296bce2978fe296a0e296bce2978f,TTSTC,e296bce296bce296a0e296bce2978f
DTCTD,e299a6e296bce2978fe296bce299a6,TCTDD,e296bce2978fe296bce299a6e299a6
TDCDT,e296bce299a6e2978fe299a6e296bc,TDCST,e296bce299a6e2978fe296a0e296bc
CSTDT,e2978fe296a0e296bce299a6e296bc,TSTDT,e296bce296a0e296bce299a6e296bc
CTTTT,e2978fe296bce296bce296bce296bc,STTTT,e296a0e296bce296bce296bce296bc
STTTC,e296a0e296bce296bce296bce2978f,CTTTS,e2978fe296bce296bce296bce296a0
DTDDS,e299a6e296bce299a6e299a6e296a0,TDDSD,e296bce299a6e299a6e296a0e299a6
DDDDS,e299a6e299a6e299a6e299a6e296a0,DDTDS,e299a6e299a6e296bce299a6e296a0
DCSDC,e299a6e2978fe296a0e299a6e2978f,DCDDC,e299a6e2978fe299a6e299a6e2978f
STTDD,e296a0e296bce296bce299a6e299a6,STDDD,e296a0e296bce299a6e299a6e299a6
TSDSC,e296bce296a0e299a6e296a0e2978f,CSDSC,e2978fe296a0e299a6e296a0e2978f
DTCSC,e299a6e296bce2978fe296a0e2978f,STCSC,e296a0e296bce2978fe296a0e2978f
TTDCS,e296bce296bce299a6e2978fe296a0,TTDCD,e296bce296bce299a6e2978fe299a6
DSTSD,e299a6e296a0e296bce296a0e299a6,DSTCD,e299a6e296a0e296bce2978fe299a6
TTCDC,e296bce296bce2978fe299a6e2978f,TTTDC,e296bce296bce296bce299a6e2978f
TSSSD,e296bce296a0e296a0e296a0e299a6,CDDDT,e2978fe299a6e299a6e299a6e296bc
